R,a0,a2,a4,b3,b5,E
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.85,0.25,-0.00616415,-0.0021132,-0.000357389,0.0226336,238.603
0.85,0.26,-0.0245224,-0.000440121,-0.000571709,0.0138483,161.511
0.85,0.27,-0.0337949,0.00204719,-0.00198204,0.000235044,118.516
0.85,0.28,-0.0337397,0.00197144,-0.00205089,0.000233735,115.538
0.85,0.29,-0.0335504,0.00188499,-0.00211131,0.000230244,112.814
0.85,0.3,-0.0332232,0.00178837,-0.00216227,0.000224479,110.318
0.85,0.31,-0.0327542,0.00168218,-0.00220272,0.000216365,108.029
0.85,0.32,-0.0321395,0.0015671,-0.00223156,0.000205842,105.929
0.85,0.33,-0.0313754,0.00144391,-0.00224768,0.000192872,104
0.85,0.34,-0.0304577,0.00131345,-0.00224992,0.000177433,102.227
0.85,0.35,-0.0293827,0.00117663,-0.00223707,0.000159528,100.599
0.85,0.36,-0.0281461,0.00103447,-0.00220789,0.000139184,99.1032
0.85,0.37,-0.0267439,0.000888079,-0.00216108,0.000116454,97.7294
0.85,0.38,-0.0251719,0.000738637,-0.00209528,9.14198e-05,96.4685
0.85,0.39,-0.0234258,0.000587435,-0.00200908,6.41948e-05,95.3125
0.85,0.4,-0.0215011,0.000435862,-0.00190099,3.49285e-05,94.2538
0.85,0.41,-0.0193933,0.000285417,-0.00176945,3.80949e-06,93.2858
0.85,0.42,-0.0170979,0.000137707,-0.00161284,-2.89303e-05,92.4026
0.85,0.43,-0.0146101,-5.54043e-06,-0.00142943,-6.30102e-05,91.5987
0.85,0.44,-0.0119251,-0.00014247,-0.00121742,-9.80951e-05,90.8692
0.85,0.45,-0.00903775,-0.000271094,-0.000974891,-0.00013379,90.2095
0.85,0.46,-0.00594308,-0.000389281,-0.000699843,-0.00016963,89.6156
0.85,0.47,-0.00263582,-0.000494748,-0.000390159,-0.000205077,89.0837
0.85,0.48,0.000887858,-0.000585039,-4.38457e-05,-0.000239506,88.6104
0.85,0.49,0.00463634,-0.000657566,0.000341887,-0.000272201,88.1926
0.85,0.5,0.00861375,-0.000709508,0.000769281,-0.000302335,87.8272
0.85,0.51,0.0128257,-0.000737866,0.00124092,-0.000328967,87.5117
0.85,0.52,0.017278,-0.000739432,0.00175948,-0.000351024,87.2436
0.85,0.53,0.0219764,-0.000710775,0.0023278,-0.000367292,87.0206
0.85,0.54,0.0269268,-0.000648231,0.00294877,-0.000376399,86.8405
0.85,0.55,0.0321348,-0.00054789,0.00362543,-0.000376805,86.7014
0.85,0.56,0.0376064,-0.000405582,0.00436086,-0.000366785,86.6015
0.85,0.57,0.0433473,-0.000216875,0.00515826,-0.000344417,86.5389
0.85,0.58,0.0493631,2.2941e-05,0.00602085,-0.000307574,86.5122
0.85,0.59,0.0556593,0.00031884,0.00695189,-0.000253914,86.5199
0.85,0.6,0.0622411,0.00067607,0.00795463,-0.000180876,86.5604
0.85,0.61,0.0691134,0.00110012,0.00903231,-8.56818e-05,86.6326
0.85,0.62,0.0762808,0.00159672,0.0101881,3.46538e-05,86.7352
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
