R,a0,a2,a4,b3,b5,E
1.08,0.22,0.00830988,-0.00223449,-0.00236093,0.0286394,320.328
1.08,0.23,-0.0110081,-0.000768548,0.000104558,0.0195188,211.096
1.08,0.24,-0.0317739,0.00125027,-0.000477963,0.00987801,143.316
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.09,0.22,0.00703912,-0.00208481,-0.00168598,0.0276842,307.563
1.09,0.23,-0.012689,-0.000624349,0.000137089,0.0188366,204.978
1.09,0.24,-0.0335341,0.0015518,-0.000623773,0.00863885,138.481
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.1,0.22,0.00573553,-0.00193657,-0.0012518,0.0267866,295.965
1.1,0.23,-0.0143541,-0.000479553,0.0001584,0.0181593,199.164
1.1,0.24,-0.0353144,0.00188517,-0.000801749,0.00722495,133.833
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.11,0.22,0.00439676,-0.00179022,-0.000945564,0.0259396,285.37
1.11,0.23,-0.0160024,-0.000333081,0.000169168,0.0174834,193.62
1.11,0.24,-0.0371281,0.00226412,-0.00102965,0.00550422,129.388
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.12,0.22,0.00302341,-0.00164634,-0.000714869,0.0251369,275.648
1.12,0.23,-0.0176334,-0.000183855,0.000169885,0.0168055,188.318
1.12,0.24,-0.0389896,0.00273623,-0.00137207,0.00295931,125.176
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.13,0.22,0.00161861,-0.00150549,-0.000532922,0.0243735,266.693
1.13,0.23,-0.0192474,-3.07975e-05,0.000160883,0.0161221,183.232
1.13,0.24,-0.0398135,0.00308988,-0.00170633,0.000256843,123.689
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.14,0.22,0.000187101,-0.00136809,-0.000384856,0.0236448,258.416
1.14,0.23,-0.0208451,0.000127176,0.00014235,0.0154298,178.342
1.14,0.24,-0.0400095,0.00311728,-0.00170583,0.000257612,123.712
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.15,0.22,-0.00126556,-0.00123435,-0.000261851,0.0229468,250.739
1.15,0.23,-0.022428,0.000291169,0.000114329,0.0147248,173.63
1.15,0.24,-0.0402039,0.00314454,-0.00170541,0.000258379,123.745
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.16,0.22,-0.00273358,-0.00110428,-0.000158375,0.0222757,243.595
1.16,0.23,-0.023998,0.00046232,7.67148e-05,0.0140033,169.083
1.16,0.24,-0.0403969,0.00317164,-0.00170506,0.000259145,123.789
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.17,0.22,-0.00421138,-0.000977705,-7.07886e-05,0.0216281,236.927
1.17,0.23,-0.0255574,0.000641825,2.92415e-05,0.0132606,164.688
1.17,0.24,-0.0405886,0.00319862,-0.0017048,0.00025991,123.844
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.18,0.22,-0.0056939,-0.000854263,3.40791e-06,0.0210007,230.68
1.18,0.23,-0.0271092,0.00083097,-2.85508e-05,0.012492,160.438
1.18,0.24,-0.0407789,0.00322547,-0.00170462,0.000260675,123.908
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.19,0.22,-0.00717671,-0.000733469,6.59922e-05,0.0203904,224.81
1.19,0.23,-0.028657,0.00103116,-9.73622e-05,0.0116913,156.327
1.19,0.24,-0.0409682,0.00325221,-0.00170453,0.000261443,123.981
0,0,0,0,0,0,0
1.2,0.21,0.0102828,-0.00207946,-0.00645793,0.029665,340.674
1.2,0.22,-0.00865611,-0.000614736,0.000118269,0.0197943,219.274
1.2,0.23,-0.0302049,0.00124398,-0.000178212,0.0108511,152.352
1.2,0.24,-0.0411563,0.00327885,-0.00170453,0.000262213,124.064
0,0,0,0,0,0,0
1.21,0.21,0.00933764,-0.00196773,-0.00400209,0.0288051,328.665
1.21,0.22,-0.0101291,-0.00049741,0.000161218,0.0192097,214.038
1.21,0.23,-0.0317579,0.00147125,-0.000272572,0.00996194,148.515
1.21,0.24,-0.0413433,0.00330538,-0.00170461,0.000262986,124.156
0,0,0,0,0,0,0
1.22,0.21,0.00828686,-0.00184766,-0.00255579,0.0279128,316.829
1.22,0.22,-0.0115935,-0.000380796,0.000195589,0.0186341,209.069
1.22,0.23,-0.0333216,0.00171515,-0.000382601,0.0090103,144.819
1.22,0.24,-0.0415294,0.00333183,-0.00170478,0.000263763,124.256
0,0,0,0,0,0,0
1.23,0.21,0.00720161,-0.00172662,-0.00177222,0.0270631,305.965
1.23,0.22,-0.0130476,-0.000264177,0.000221958,0.018065,204.34
1.23,0.23,-0.0349026,0.00197843,-0.000511601,0.00797614,141.273
1.23,0.24,-0.0417146,0.0033582,-0.00170504,0.000264545,124.365
0,0,0,0,0,0,0
1.24,0.21,0.0060922,-0.00160598,-0.00130045,0.0262637,296.063
1.24,0.22,-0.0144904,-0.000146827,0.000240769,0.0175001,199.827
1.24,0.23,-0.036508,0.00226485,-0.000665043,0.00682563,137.891
1.24,0.24,-0.0418989,0.00338448,-0.00170538,0.000265333,124.483
0,0,0,0,0,0,0
1.25,0.21,0.00495657,-0.00148614,-0.000983633,0.0255088,286.993
1.25,0.22,-0.0159211,-2.80185e-05,0.00025236,0.0169372,195.509
1.25,0.23,-0.0381457,0.00258058,-0.00085341,0.00549089,134.689
1.25,0.24,-0.0420824,0.00341071,-0.00170582,0.000266126,124.608
0,0,0,0,0,0,0
1.26,0.21,0.00379343,-0.00136749,-0.000752725,0.024793,278.643
1.26,0.22,-0.0173398,9.29729e-05,0.000256978,0.0163741,191.367
1.26,0.23,-0.0398227,0.00294018,-0.00110401,0.00378282,131.693
1.26,0.24,-0.0422651,0.00343687,-0.00170636,0.000266927,124.741
0,0,0,0,0,0,0
1.27,0.21,0.00260344,-0.00125051,-0.000574225,0.0241118,270.928
1.27,0.22,-0.0187467,0.000216868,0.000254792,0.0158088,187.385
1.27,0.23,-0.0413509,0.0034202,-0.00160125,0.000254419,129.269
1.27,0.24,-0.0424472,0.00346297,-0.00170698,0.000267735,124.882
0,0,0,0,0,0,0
1.28,0.21,0.00138883,-0.0011356,-0.000430301,0.0234614,263.777
1.28,0.22,-0.0201424,0.000344385,0.000245898,0.0152392,183.55
1.28,0.23,-0.0415241,0.00344535,-0.00160192,0.000255171,129.424
1.28,0.24,-0.0426286,0.00348903,-0.0017077,0.00026855,125.031
0,0,0,0,0,0,0
1.29,0.21,0.000152803,-0.00102311,-0.000310742,0.0228388,257.129
1.29,0.22,-0.0215278,0.000476247,0.000230326,0.014663,179.851
1.29,0.23,-0.041697,0.00347049,-0.00160269,0.000255935,129.586
1.29,0.24,-0.0428094,0.00351505,-0.00170851,0.000269375,125.186
0,0,0,0,0,0,0
1.3,0.21,-0.00110083,-0.000913241,-0.00020934,0.022241,250.933
1.3,0.22,-0.0229041,0.000613185,0.000208036,0.0140783,176.277
1.3,0.23,-0.0418695,0.00349561,-0.00160355,0.00025671,129.755
1.3,0.24,-0.0429897,0.00354102,-0.00170941,0.000270208,125.349
0,0,0,0,0,0,0
1.31,0.21,-0.00236809,-0.000806054,-0.000122138,0.0216654,245.143
1.31,0.22,-0.0242729,0.000755947,0.000178915,0.0134826,172.821
1.31,0.23,-0.0420418,0.00352073,-0.00160451,0.000257497,129.931
1.31,0.24,-0.0431695,0.00356697,-0.00171041,0.000271051,125.518
0,0,0,0,0,0,0
1.32,0.21,-0.00364502,-0.000701491,-4.65061e-05,0.0211095,239.718
1.32,0.22,-0.0256359,0.000905301,0.000142776,0.0128737,169.478
1.32,0.23,-0.0422137,0.00354585,-0.00160557,0.000258295,130.114
1.32,0.24,-0.0433488,0.00359289,-0.0017115,0.000271904,125.694
0,0,0,0,0,0,0
1.33,0.21,-0.00492795,-0.000599378,1.93676e-05,0.020571,234.621
1.33,0.22,-0.0269952,0.00106205,9.93421e-05,0.0122489,166.242
1.33,0.23,-0.0423854,0.00357098,-0.00160672,0.000259106,130.304
1.33,0.24,-0.0435277,0.0036188,-0.00171269,0.000272767,125.877
0,0,0,0,0,0,0
1.34,0.21,-0.00621356,-0.00049944,7.67723e-05,0.0200478,229.82
1.34,0.22,-0.0283532,0.00122704,4.82344e-05,0.0116055,163.111
1.34,0.23,-0.0425569,0.00359611,-0.00160797,0.000259929,130.5
1.34,0.24,-0.0437062,0.00364468,-0.00171397,0.000273641,126.066
0,0,0,0,0,0,0
1.35,0.21,-0.00749899,-0.00040133,0.000126651,0.0195376,225.286
1.35,0.22,-0.0297124,0.00140116,-1.10513e-05,0.01094,160.085
1.35,0.23,-0.0427282,0.00362125,-0.00160931,0.000260765,130.703
1.35,0.24,-0.0438844,0.00367056,-0.00171535,0.000274526,126.261
0,0,0,0,0,0,0
